Recall	Precision: exact match	F1: exact match	F0.5 exact match	Precision: exact or hpoNarrower	F1: exact or hpoNarrower	F0.5: exact or hpoNarrower	Precision: all	F1: all	F0.5: all	String/substring: HPO ↔ Phecode	String/substring: HPO ↔ ICD	SORTA: Phecode → HPO	SORTA: Phecode → ICD	PheMap: HPO ↔ Phecode	UMLS: HPO ↔ ICD	WikiMedMap: HPO → ICD
0.6704761904761904	0.09090909090909091	0.16010916534000455	0.10991069755823395	0.6439393939393939	0.6569399159064212	0.6490773642946707	0.6893939393939393	0.6798034783900508	0.6855254653706058	Yes + children	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes	Yes + children	Yes + children
0.6671428571428571	0.09090909090909091	0.16001370567072126	0.10989269578313254	0.6439393939393939	0.65533579871888	0.6484500581554907	0.6893939393939393	0.6780859075823334	0.6848257680258866	Yes + children	Yes + children	Yes + children	Yes (Strict threshold) + children		Yes + children	Yes + children
0.6797619047619048	0.0851063829787234	0.151273305295228	0.10315424359576543	0.6312056737588653	0.6545845650507821	0.6403539278837915	0.6737588652482269	0.6767470728770951	0.674950976000637	Yes + children	Yes + children	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes + children
0.6828571428571428	0.08	0.14322097378277154	0.09715447154471545	0.6066666666666666	0.6425110782865583	0.6205135520684736	0.6466666666666666	0.6642693409742121	0.6535945869749084	Yes + children	Yes + children	Yes + children	Yes + children	Yes + children	Yes + children	Yes + children
0.6783333333333333	0.08571428571428572	0.15219694608912432	0.10386185777475333	0.6285714285714286	0.6525050100200401	0.6379310344827587	0.6714285714285714	0.6748632915858176	0.6727982554867755	Yes + children	Yes + children	Yes + children	Yes + children	Yes (Strict threshold)	Yes + children	Yes + children
0.6807142857142857	0.08571428571428572	0.15225669018772467	0.10387298357796831	0.6285714285714286	0.6536045514768919	0.6383509925709414	0.6714285714285714	0.6760395441853445	0.6732653920153919	Yes + children	Yes + children	Yes + children	Yes + children	Yes	Yes + children	Yes + children
0.6776190476190476	0.08571428571428572	0.15217895018269315	0.10385850525496301	0.6285714285714286	0.6521743659184417	0.6378045799038383	0.6714285714285714	0.6745096061721546	0.6726576014804682	Yes + children	Yes + children	Yes + children	Yes + children		Yes + children	Yes + children
0.6695238095238095	0.09056603773584905	0.15954987115534644	0.10950440042576388	0.6452830188679245	0.6571799532588938	0.6499897267310457	0.690566037735849	0.6798821493215659	0.6862524404425335	Yes + children	Yes + children	Yes + children	Yes (Strict threshold)	Yes (Strict threshold) + children	Yes + children	Yes + children
0.6728571428571428	0.08480565371024736	0.15062661150086948	0.10276886823329187	0.618374558303887	0.6444664240225494	0.6285536060713284	0.6607773851590106	0.666762556161594	0.6631585129323327	Yes + children	Yes + children	Yes + children	Yes (Strict threshold)	Yes + children	Yes + children	Yes + children
0.6676190476190477	0.09125475285171103	0.16056269475050464	0.11029932393804776	0.6425855513307985	0.65486314753754	0.6474409280994029	0.688212927756654	0.6777595863391495	0.6839931342466108	Yes + children	Yes + children	Yes + children	Yes (Strict threshold)	Yes (Strict threshold)	Yes + children	Yes + children
0.67	0.09125475285171103	0.16063133709604915	0.1103122770429724	0.6425855513307985	0.6560064888039164	0.6478874851231347	0.688212927756654	0.6789843509420228	0.6844915560372076	Yes + children	Yes + children	Yes + children	Yes (Strict threshold)	Yes	Yes + children	Yes + children
0.6666666666666666	0.09125475285171103	0.1605351170568562	0.11029411764705883	0.6425855513307985	0.6544046466602129	0.6472615855993872	0.688212927756654	0.6772684752104771	0.6837929731771816	Yes + children	Yes + children	Yes + children	Yes (Strict threshold)		Yes + children	Yes + children
0.675	0.08888888888888889	0.1570909090909091	0.10756972111553785	0.6481481481481481	0.6613016095171448	0.6533462389380531	0.6925925925925925	0.6836831415030468	0.6890010917030567	Yes + children	Yes + children	Yes + children	Yes	Yes (Strict threshold) + children	Yes + children	Yes + children
0.6783333333333333	0.08333333333333333	0.1484318016046681	0.10106277314263011	0.6215277777777778	0.6486893186594009	0.6321147946080268	0.6631944444444444	0.6706784691306897	0.6661679212427845	Yes + children	Yes + children	Yes + children	Yes	Yes + children	Yes + children	Yes + children
0.6730952380952381	0.08955223880597014	0.1580735197498707	0.10833686749204174	0.6455223880597015	0.6590205331227649	0.6508547449871499	0.6902985074626866	0.6815883375601772	0.6867878611514403	Yes + children	Yes + children	Yes + children	Yes	Yes (Strict threshold)	Yes + children	Yes + children
